[2023-11-09T16:56:23,557][INFO ][o.a.l.i.v.PanamaVectorizationProvider] [dynamic-oit-vapornet100-10-8-26-245.princeton.edu] Java vector incubator API enabled; uses preferredBitSize=128
[2023-11-09T16:56:24,820][INFO ][o.e.n.Node               ] [dynamic-oit-vapornet100-10-8-26-245.princeton.edu] version[8.11.0], pid[82917], build[tar/d9ec3fa628c7b0ba3d25692e277ba26814820b20/2023-11-04T10:04:57.184859352Z], OS[Mac OS X/14.0/x86_64], JVM[Oracle Corporation/OpenJDK 64-Bit Server VM/21.0.1/21.0.1+12-29]
[2023-11-09T16:56:24,824][INFO ][o.e.n.Node               ] [dynamic-oit-vapornet100-10-8-26-245.princeton.edu] JVM home [/Users/ibe/School/AdvancedProgrammingTechniquesCOS333/gigl/elasticsearch-8.11.0/jdk.app/Contents/Home], using bundled JDK [true]
[2023-11-09T16:56:24,826][INFO ][o.e.n.Node               ] [dynamic-oit-vapornet100-10-8-26-245.princeton.edu] JVM arguments [-Des.networkaddress.cache.ttl=60, -Des.networkaddress.cache.negative.ttl=10, -Djava.security.manager=allow, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -XX:-OmitStackTraceInFastThrow, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Dlog4j2.formatMsgNoLookups=true, -Djava.locale.providers=SPI,COMPAT, --add-opens=java.base/java.io=org.elasticsearch.preallocate, -XX:+UseG1GC, -Djava.io.tmpdir=/var/folders/k1/1xf6_j414v9997drrpbd3_v80000gn/T/elasticsearch-14754465202792317238, --add-modules=jdk.incubator.vector, -XX:+HeapDumpOnOutOfMemoryError, -XX:+ExitOnOutOfMemoryError, -XX:HeapDumpPath=data, -XX:ErrorFile=logs/hs_err_pid%p.log, -Xlog:gc*,gc+age=trace,safepoint:file=logs/gc.log:utctime,level,pid,tags:filecount=32,filesize=64m, -Xms8192m, -Xmx8192m, -XX:MaxDirectMemorySize=4294967296, -XX:InitiatingHeapOccupancyPercent=30, -XX:G1ReservePercent=25, -Des.distribution.type=tar, --module-path=/Users/ibe/School/AdvancedProgrammingTechniquesCOS333/gigl/elasticsearch-8.11.0/lib, --add-modules=jdk.net, --add-modules=ALL-MODULE-PATH, -Djdk.module.main=org.elasticsearch.server]
[2023-11-09T16:56:31,317][INFO ][o.e.p.PluginsService     ] [dynamic-oit-vapornet100-10-8-26-245.princeton.edu] loaded module [repository-url]
[2023-11-09T16:56:31,326][INFO ][o.e.p.PluginsService     ] [dynamic-oit-vapornet100-10-8-26-245.princeton.edu] loaded module [rest-root]
[2023-11-09T16:56:31,327][INFO ][o.e.p.PluginsService     ] [dynamic-oit-vapornet100-10-8-26-245.princeton.edu] loaded module [x-pack-core]
[2023-11-09T16:56:31,327][INFO ][o.e.p.PluginsService     ] [dynamic-oit-vapornet100-10-8-26-245.princeton.edu] loaded module [x-pack-redact]
[2023-11-09T16:56:31,327][INFO ][o.e.p.PluginsService     ] [dynamic-oit-vapornet100-10-8-26-245.princeton.edu] loaded module [ingest-user-agent]
[2023-11-09T16:56:31,328][INFO ][o.e.p.PluginsService     ] [dynamic-oit-vapornet100-10-8-26-245.princeton.edu] loaded module [x-pack-async-search]
[2023-11-09T16:56:31,328][INFO ][o.e.p.PluginsService     ] [dynamic-oit-vapornet100-10-8-26-245.princeton.edu] loaded module [x-pack-monitoring]
